제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
O’Casey 작품을 통해 본 긍정적인 삶의 전망,송수호,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902610,,KDC 842,포함
E. Canetti 희곡에 나타난 社會批判,이혜림,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902615,,KDC 852,포함
(The)Waste land의 神話的 背景硏究,조정옥,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902174,,KDC 841,포함
老舍小說硏究,김의진,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901609,,KDC 823,포함
20年代 詩에 나타난 時間과 空間表象 硏究,박건명,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901974,,KDC 811,포함
I.A. Richards의 批評論 硏究,김도환,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901891,,KDC 840,포함
聖書的 입장에서 본 Lady Chatterley’s lover硏究,정지호,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902216,,KDC 843,포함
Mansfield park의 技法 硏究,김경진,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902218,,KDC 843,포함
Sons and lovers에서의 이상적 인간관계 연구,유병소,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902220,,KDC 843,포함
Corneille 희극의 공간. 시간에 관한 연구,장혜영,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902691,,KDC 862,포함
Arthur Miller의 극에 나타난 인간존재의 문제성,고인경,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902693,,KDC 842,포함
金珖燮 詩의 想像力 硏究,황혜경,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902694,,KDC 811,포함
Julius Caesar,홍유미,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902696,,KDC 842,포함
Hamlet의 희극적 요소와 비극성과의 관계,노영숙,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902697,,KDC 842,포함
William Blake의 시를 통해 본 속박의 양상과 삶의 비전,신소영,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902668,,KDC 841,포함
(The)scarlet letter와 The blithedale romance에 나타난 구원의 공동체,이경란,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902669,,KDC 843,포함
F.Schlegel의 Romantische poesie 개념형성 및 그 형상화로서의 Lucinde 연구,조우호,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901440,,KDC 850,포함
″젊은 예술가의 초상″에 나타난 죽음의 진의,어진선,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902238,,KDC 843,포함
Lyrical ballads '서문'에 나타난 Wordsworth의 시 이해,김정완,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902711,,KDC 841,포함
에 나타난 비극적 인간상,이주한,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903147,,KDC 843,포함
헤밍웨이의 In our time에 나타난 이미지스트 스타일,공창옥,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903148,,KDC 843,포함
韓日直喩表現에 關한 考察,김대성,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902998,,KDC 833,포함
蔡萬植 小說硏究,김종현,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903001,,KDC 813,포함
新小說에 나타난 婚事障碍 樣相에 對한 硏究,김충실,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903712,,KDC 813,포함
Gerhart Hauptmann의 에 나타난 變容(Verklarung)의 문제,신연희,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903568,,KDC 852,포함
의 演劇과 反演劇,서정국,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903569,,KDC 862,포함
郁達夫 前期小說의 浪漫性 硏究,엄익근,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903576,,KDC 823,포함
루시앙 골드만의 발생론적 구조주의,정영민,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903008,,KDC 840,포함
Hardy小說의 유머와 아이러니에 關한 硏究,손진영,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903716,,KDC 843,포함
韓.中歲時風俗 및 歌謠의 比較硏究,장정룡,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903722,,KDC 811,포함
開化期 文學과 基督敎思想 硏究,이민자,평론,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198903726,,KDC 809,포함
