제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
마티스의 정원,사만사 프리드만,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=27321&book_info_id=2,,,포함
소년을 위로해줘,은희경,장편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5013&book_info_id=1,,,중복 제외 (앞 순위 출처에 있음)
박순미 미용실,강무지 외,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5013&book_info_id=10,,,포함
거리의 아이 토토,이시이 고타,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5030&book_info_id=10,,,포함
모든 것이 돌아오는 곳,존 코리 웨일리/이석연,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=9411&book_info_id=1,,,포함
프립 마을의 몹시 집요한 개퍼들,조지 손더스,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=51735&book_info_id=7,,,포함
"행복해라, 물개",주디스 커/길상효,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=54288&book_info_id=10,,,포함
별에서 별까지,신형건,시,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=54288&book_info_id=2,,,포함
우리 신화 여행,정혜원,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=46999&book_info_id=9,,,포함
독립명랑소녀,김혜정,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5020&book_info_id=1,,,포함
개 같은 날은 없다,이옥수,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5033&book_info_id=1,,,포함
"옛이야기 들썩, 우리 음악 얼쑤!",이효분,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=9411&book_info_id=10,,,포함
