제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
누군가 먹고 싶은 오후: 김뱅상 시집,김뱅상,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031671&isbn=9791156061328&mid=b30201000000,작가마을,,포함
장미릉: 오주리 시집,오주리,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031673&isbn=9788961042512&mid=b30201000000,한국문연,,포함
복사꽃 아래로 가는 천년:김왕노 시집,김왕노,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031631&isbn=9788960214415&mid=b30201000000,천년의시작,,포함
오늘의 이야기는 끝이 났어요 내일 이야기는 내일 하기로 해요:길상호 시집,길상호,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031633&isbn=9791189128500&mid=b30201000000,걷는사람,,포함
암마뚜마:김병섭 시집,김병섭,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031635&isbn=9791189898090&mid=b30201000000,b,,포함
"물골, 그 집:최성수 시집",최성수,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031634&isbn=9791189898045&mid=b30201000000,b,,포함
이어도 주막:이성배 시집,이성배,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031637&isbn=9788992219853&mid=b30201000000,애지,,포함
동태:박상화 시집,박상화,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031638&isbn=9791130814490&mid=b30201000000,푸른사상,,포함
비포리 매화:김복근 시조집,김복근,시조,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031639&isbn=9791189205386&mid=b30201000000,황금알,,포함
고독과 오독에 대한 에필로그:구석본 시집,구석본,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031642&isbn=9791158964344&mid=b30201000000,시인동네,,포함
아무는 밤:김안 시집,김안,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031645&isbn=9788937408793&mid=b30201000000,민음사,,포함
모르는 귀,정진규,시,2017,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1028700&isbn=9791196117405&mid=b30201000000,세상의 모든 시집,,포함
이번 차는 그냥 보내자: 황규관 시집,황규관,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031654&isbn=9788954657969&mid=b30201000000,문학동네,,포함
응강: 이봉환 시집,이봉환,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031656&isbn=9791196396961&mid=b30201000000,반걸음,,포함
육십조각의 비가:이선영 시집,이선영,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030552&isbn=9788937408731&mid=b30201000000,민음사,,포함
강철의 기억:이철산 시집,이철산,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030554&isbn=9788966551118&mid=b30201000000,삶창,,포함
개망초 연대기:김재룡 시집,김재룡,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030555&isbn=9791188710393&mid=b30201000000,달아실,,포함
꽃이라는 말이 있다:신휘 시집,신휘,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030559&isbn=9791188071197&mid=b30201000000,모악,,포함
나무다비:박방희 시집,박방희,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030561&isbn=9791157283194&mid=b30201000000,지혜,,포함
문학시간에 읽은 시:시인교사의 시 수업 읽기,하상만,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030624&isbn=9791196358525&mid=b30201000000,자이,,포함
내일은 희망이 아니다:표성배 시집,표성배,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030564&isbn=9788966551026&mid=b30201000000,삶창,,포함
사랑해요 바보몽땅:강병철 시집,강병철,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030578&isbn=9788966551033&mid=b30201000000,삶창,,포함
소피아 로렌의 시간:기혁 시집,기혁,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030581&isbn=9788932034881&mid=b30201000000,문학과지성사,,포함
수컷의 속성:유승도 시집,유승도,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030582&isbn=9791186111604&mid=b30201000000,시와에세이,,포함
"콩이나 쪼매 심고 놀지머 : 칠곡 할매들, 시를 쓰다",강봉수 외 일백일십팔명,시,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1027177&isbn=9788966550678&mid=b30201000000,삶창,,포함
도보다리가 답이다:김재석 시집,김재석,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030571&isbn=9791188819300&mid=b30201000000,사의재,,포함
등 뒤의 시간:박일환 시집,박일환,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030572&isbn=9791196396930&mid=b30201000000,반걸음,,포함
"로스엔젤레스, 천사의 땅을 거처로 삼았다:정국희 시집",정국희,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030573&isbn=9791162430514&mid=b30201000000,시산맥사,,포함
